Superheading,Heading,Sub-Heading,Resource Links,Actual URL,Info,,
,,,Pretrained Transformers for text Ranking pdf file,https://tinyurl.com/26thjejc,,,
,,,NLU2e_James_Allen pdf file,https://tinyurl.com/29y72f8a,,,
,,,ed3book-3rd edition pdf file,https://tinyurl.com/23chyvf5,,,
,,,Foundations of Statistical NLP pdf file,https://tinyurl.com/2dabw2hv,,,
,,,,,,,
,,"Lectures PPT	",,,,,
,,,All Lectures with Webinar (Chetna) pdf file,https://tinyurl.com/25exapeg,,,
,,,,,,,
,,Lecture Videos (Chetna),,,,,
,,,Lecture-1,https://youtu.be/4TKkRxnQ7G0,,,
,,,Lecture-2,https://youtu.be/_h7ObxioURg,,,
,,,Lecture-3,https://youtu.be/4x-SM6ZDVV8,,,
,,,Lecture-4,https://youtu.be/t4KxNxAlGvI,,,
,,,Lecture-5,https://youtu.be/PIsU-msktag,,,
,,,Lecture-6,https://youtu.be/d_YrUfsuyxk,,,
,,,Lecture-7,https://youtu.be/kdbRYEAzAiA,,,
,,,Lecture-8,https://youtu.be/h6zq5s4u8YY,,,
,,,Lecture-9,https://youtu.be/cErmIHTr-IM,,,
,,,Lecture-10,https://youtu.be/wCjDWdYCodI,,,
,,,Lecture-11,https://youtu.be/gyeWHCMIluc,,,
,,,Lecture-12,https://youtu.be/irW_FQby924,,,
,,,Lecture-13,https://youtu.be/ZSM3FZYfX8g,,,
,,,Lecture-14,https://youtu.be/tqplP7tiRBA,,,
,,,Lecture-15,https://youtu.be/OnnFOfMgqdM,,,
,,,Lecture-16,https://youtu.be/FbLo3Y5Tn5I,,,
,,,Web-1,https://youtu.be/0ToG6XpAwPc,,,
,,,Web-2,https://youtu.be/0_qpB2DxAN0,,,
,,,Web-3,https://youtu.be/RasyJzb0cvQ,,,
,,,Web-4,https://youtu.be/wOIw5c3-PUQ,,,
,,,,,,,
,,Lecture Videos (Bharthi),,,,,
,,,Lecture-1,https://youtu.be/McmvmIls4ls,,,
,,,Lecture-2,https://youtu.be/CLtbi60lu_k,,,
,,,Lecture-3,https://youtu.be/7tkOKEEnVcM,,,
,,,Lecture-4,https://youtu.be/UMM_BR4rfbc,,,
,,,Lecture-5,https://youtu.be/4oq6AX-K6Ow,,,
,,,Lecture-6,https://youtu.be/_8Cw38GTP_A,,,
,,,Lecture-7,https://youtu.be/SmQD0T6JEik,,,
,,,Lecture-8,https://youtu.be/cIr0b-9ISO8,,,
,,,Lecture-9,https://youtu.be/XmQWn0Fvo3M,,,
,,,Lecture-10,https://youtu.be/W5hU-yXPVIo,,,
,,,Lecture-11,https://youtu.be/K2lZ8DbQozE,,,
,,,Lecture-12,https://youtu.be/tJ4pKy3nGqw,,,
